"schema_name","table_name","index_name","index_definition"
"pg_catalog","pg_publication","pg_publication_pubname_index","CREATE UNIQUE INDEX pg_publication_pubname_index ON pg_catalog.pg_publication USING btree (pubname)"
"pg_catalog","pg_publication_namespace","pg_publication_namespace_oid_index","CREATE UNIQUE INDEX pg_publication_namespace_oid_index ON pg_catalog.pg_publication_namespace USING btree (oid)"
"pg_catalog","pg_publication_namespace","pg_publication_namespace_pnnspid_pnpubid_index","CREATE UNIQUE INDEX pg_publication_namespace_pnnspid_pnpubid_index ON pg_catalog.pg_publication_namespace USING btree (pnnspid, pnpubid)"
"pg_catalog","pg_publication_rel","pg_publication_rel_oid_index","CREATE UNIQUE INDEX pg_publication_rel_oid_index ON pg_catalog.pg_publication_rel USING btree (oid)"
"pg_catalog","pg_publication_rel","pg_publication_rel_prpubid_index","CREATE INDEX pg_publication_rel_prpubid_index ON pg_catalog.pg_publication_rel USING btree (prpubid)"
"pg_catalog","pg_publication_rel","pg_publication_rel_prrelid_prpubid_index","CREATE UNIQUE INDEX pg_publication_rel_prrelid_prpubid_index ON pg_catalog.pg_publication_rel USING btree (prrelid, prpubid)"
"pg_catalog","pg_range","pg_range_rngmultitypid_index","CREATE UNIQUE INDEX pg_range_rngmultitypid_index ON pg_catalog.pg_range USING btree (rngmultitypid)"
"pg_catalog","pg_range","pg_range_rngtypid_index","CREATE UNIQUE INDEX pg_range_rngtypid_index ON pg_catalog.pg_range USING btree (rngtypid)"
"pg_catalog","pg_replication_origin","pg_replication_origin_roiident_index","CREATE UNIQUE INDEX pg_replication_origin_roiident_index ON pg_catalog.pg_replication_origin USING btree (roident)"
"pg_catalog","pg_replication_origin","pg_replication_origin_roname_index","CREATE UNIQUE INDEX pg_replication_origin_roname_index ON pg_catalog.pg_replication_origin USING btree (roname)"
"pg_catalog","pg_rewrite","pg_rewrite_oid_index","CREATE UNIQUE INDEX pg_rewrite_oid_index ON pg_catalog.pg_rewrite USING btree (oid)"
"pg_catalog","pg_rewrite","pg_rewrite_rel_rulename_index","CREATE UNIQUE INDEX pg_rewrite_rel_rulename_index ON pg_catalog.pg_rewrite USING btree (ev_class, rulename)"
"pg_catalog","pg_seclabel","pg_seclabel_object_index","CREATE UNIQUE INDEX pg_seclabel_object_index ON pg_catalog.pg_seclabel USING btree (objoid, classoid, objsubid, provider)"
"pg_catalog","pg_sequence","pg_sequence_seqrelid_index","CREATE UNIQUE INDEX pg_sequence_seqrelid_index ON pg_catalog.pg_sequence USING btree (seqrelid)"
"pg_catalog","pg_shdepend","pg_shdepend_depender_index","CREATE INDEX pg_shdepend_depender_index ON pg_catalog.pg_shdepend USING btree (dbid, classid, objid, objsubid)"
"pg_catalog","pg_shdepend","pg_shdepend_reference_index","CREATE INDEX pg_shdepend_reference_index ON pg_catalog.pg_shdepend USING btree (refclassid, refobjid)"
"pg_catalog","pg_shdescription","pg_shdescription_o_c_index","CREATE UNIQUE INDEX pg_shdescription_o_c_index ON pg_catalog.pg_shdescription USING btree (objoid, classoid)"
"pg_catalog","pg_shseclabel","pg_shseclabel_object_index","CREATE UNIQUE INDEX pg_shseclabel_object_index ON pg_catalog.pg_shseclabel USING btree (objoid, classoid, provider)"
"pg_catalog","pg_statistic","pg_statistic_relid_att_inh_index","CREATE UNIQUE INDEX pg_statistic_relid_att_inh_index ON pg_catalog.pg_statistic USING btree (starelid, staattnum, stainherit)"
"pg_catalog","pg_statistic_ext","pg_statistic_ext_name_index","CREATE UNIQUE INDEX pg_statistic_ext_name_index ON pg_catalog.pg_statistic_ext USING btree (stxname, stxnamespace)"
"pg_catalog","pg_statistic_ext","pg_statistic_ext_oid_index","CREATE UNIQUE INDEX pg_statistic_ext_oid_index ON pg_catalog.pg_statistic_ext USING btree (oid)"
